id,name,phone_number,email,city,state,qualifications,diploma_score,experience_years,skills,category,gender,training_result,placement_status,preferred_salary_min,preferred_salary_max,availability_status
1,Ramya Nithya Sri S L,+91-8314742439,ramya.nithya.sri.s.l@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,95.0,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",OBC,Female,Pass,Placed,17148,32764,available
2,Jayapriya C,+91-8260282836,jayapriya.c@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,87.59,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",OBC,Female,Pass,Placed,24843,38021,available
3,Kavitha M,+91-9532591576,kavitha.m@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,94.7,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Quality Control""]",OBC,Female,Pass,Placed,24062,28807,available
4,Krishna Moorthi D,+91-9081968771,krishna.moorthi.d@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,94.37,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation""]",OBC,Male,Pass,Placed,22665,36625,available
5,Krishnaveni B,+91-8777144270,krishnaveni.b@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,88.25,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",OBC,Female,Pass,Placed,22005,29900,available
6,Manjula T,+91-9329945537,manjula.t@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,73.09,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation""]",OBC,Female,Pass,Not Placed,16165,38825,available
7,Mynavathi E,+91-7590395421,mynavathi.e@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,95.0,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation""]",OBC,Female,Pass,Placed,20014,38698,available
8,Nishanth V,+91-8516264040,nishanth.v@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,95.0,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",OBC,Male,Pass,Placed,19921,34842,available
9,Nithya M,+91-9001792139,nithya.m@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,91.29,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Project Management""]",OBC,Female,Pass,Placed,17683,38363,available
10,Renugadevi,+91-9274025697,renugadevi@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,95.0,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",OBC,Female,Pass,Placed,20436,26956,available
11,Santhiya S,+91-7394111137,santhiya.s@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,77.22,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",OBC,Female,Pass,Not Placed,17887,39635,available
12,Sowmiya S,+91-9563678559,sowmiya.s@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,95.0,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Project Management""]",OBC,Female,Pass,Placed,17343,29953,available
13,Sridhar M,+91-9283274068,sridhar.m@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,95.0,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation""]",OBC,Male,Pass,Placed,15223,34065,available
14,Surya B,+91-7296460768,surya.b@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,82.01,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",OBC,Male,Pass,Placed,22528,27303,available
15,Vinitha V,+91-9336149296,vinitha.v@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,77.66,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis""]",OBC,Female,Pass,Not Placed,18181,34186,available
16,Ranjith C,+91-7276843524,ranjith.c@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,94.58,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Quality Control"", ""Project Management""]",ST,Male,Pass,Placed,17810,27718,available
17,Balaji M,+91-8170749181,balaji.m@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,91.67,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",OBC,Male,Pass,Not Placed,17503,37452,available
18,Haripriya V,+91-7164741179,haripriya.v@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,95.0,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis""]",OBC,Female,Pass,Placed,15613,35026,available
19,Dhivya Bharathi V,+91-7352640090,dhivya.bharathi.v@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,94.8,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Project Management"", ""Customer Service""]",OBC,Female,Pass,Placed,19196,38527,available
20,Gokul R,+91-7245119408,gokul.r@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,95.0,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation""]",OBC,Male,Pass,Placed,24097,37912,available
21,Elango C,+91-9579177429,elango.c@gmail.com,Coimbatore,TAMIL NADU,Suryamitra Solar Technician Certification,60.0,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Troubleshooting"", ""Project Management""]",OBC,Male,Fail,Not Placed,16751,36483,available
22,Veeranki Teja Gowd,+91-8800149325,veeranki.teja.gowd@gmail.com,Vijayawada,ANDHRA PRADESH,Suryamitra Solar Technician Certification,80.76,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation""]",OBC,Male,Pass,Unknown,21763,27849,available
23,Panthagani Akhil,+91-8850090343,panthagani.akhil@gmail.com,Vijayawada,ANDHRA PRADESH,Suryamitra Solar Technician Certification,86.7,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Project Management"", ""Quality Control""]",SC,Male,Pass,Unknown,22360,30887,available
24,Chinta Ravi Kiran,+91-7385541531,chinta.ravi.kiran@gmail.com,Vijayawada,ANDHRA PRADESH,Suryamitra Solar Technician Certification,81.2,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation""]",OBC,Male,Pass,Unknown,19190,30881,available
25,Katta Ramakrishna,+91-9667039677,katta.ramakrishna@gmail.com,Vijayawada,ANDHRA PRADESH,Suryamitra Solar Technician Certification,83.06,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis""]",OBC,Male,Pass,Unknown,21460,25785,available
26,Choppra Arvind Kumar,+91-8842863512,choppra.arvind.kumar@gmail.com,Vijayawada,ANDHRA PRADESH,Suryamitra Solar Technician Certification,79.6,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation"", ""Quality Control"", ""Customer Service""]",OBC,Male,Pass,Unknown,16966,31828,available
27,Pamarthi Surya Venkata Purnacharyulu,+91-7228182133,pamarthi.surya.venkata.purnacharyulu@gmail.com,Vijayawada,ANDHRA PRADESH,Suryamitra Solar Technician Certification,83.46,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Quality Control""]",OBC,Male,Pass,Unknown,18214,36050,available
28,KONA SAIBABU,+91-7091349037,kona.saibabu@gmail.com,Vijayawada,ANDHRA PRADESH,Suryamitra Solar Technician Certification,77.52,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols"", ""Technical Documentation""]",OBC,Male,Pass,Unknown,17615,38239,available
29,Mohammad Rasheed,+91-9615024779,mohammad.rasheed@gmail.com,Vijayawada,ANDHRA PRADESH,Suryamitra Solar Technician Certification,82.26,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",OBC,Male,Pass,Unknown,24545,28786,available
30,Mohammed Moheeddin,+91-9573319564,mohammed.moheeddin@gmail.com,Vijayawada,ANDHRA PRADESH,Suryamitra Solar Technician Certification,88.35,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis"", ""Safety Protocols""]",OBC,Male,Pass,Unknown,15598,32175,available
31,Konduru Bhavana Varsha,+91-7462457510,konduru.bhavana.varsha@gmail.com,Vijayawada,ANDHRA PRADESH,Suryamitra Solar Technician Certification,82.02,0,"[""Solar Panel Installation"", ""Solar System Maintenance"", ""Electrical Wiring"", ""Power System Analysis""]",OBC,Female,Pass,Unknown,22009,28595,available
